PREFIXO: ;E3-062
NOME DO POSTO: ;ENGENHEIRO FERRAZ (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CAPIVARI,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°59'00"
LONGITUDE: ;46°37'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  06/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,0;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 35,0;  9,3;0,0;0,0;---;35,0;54,8
  07/1944;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0; 95,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  08/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,4;0,0;0,8;1,7
  09/1944;  0,0;  0,7;  0,3;  0,0;  0,8;  0,4;  0,6;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,8;3,6
  10/1944;  0,0;  0,0;  0,5;  0,3;  0,0;  0,7;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,0;0,0;8,0;0,0;15,0;26,1
  11/1944;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,7; 95,0;135,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9; 12,0;  0,8;  0,7;  0,9;  0,5;  0,5;  0,0;0,0;0,0;---;135,0;247,4
  12/1944;  0,5;  0,4;  0,6;  0,3;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,0; 10,0; 12,0; 18,0; 85,0;140,4;  0,0;0,0;0,0;0,0;140,4;295,6
  01/1945;  0,5;  0,3;  0,5;  0,3;  0,4;  0,6;  0,5;  0,7;  0,0;  0,0;  0,0;  0,0; 46,0;  6,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,9; 23,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,3;0,6;3,0;46,0;83,8
  02/1945; 38,0;166,0; 28,0;  0,8;  0,4;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  5,0; 53,0; 12,0;  8,0;  0,0;  0,0;  7,8;  0,0;  0,0;---;---;---;166,0;322,6
  03/1945;  0,0;  7,0; 96,0; 85,0; 53,0;  0,0;  0,0; 10,0; 15,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7; 10,0;  0,0;  0,0;0,8;0,0;0,0;96,0;277,5
  04/1945; 45,0; 55,0; 68,0; 39,0; 40,0; 81,0; 35,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;10,0;---;81,0;381,0
  05/1945;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 40,0; 38,0; 35,0; 48,0; 29,0; 32,0; 43,0; 45,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;48,0;322,0
  06/1945;  0,0;  0,0;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0; 18,0; 30,0; 39,0; 28,0; 45,0; 37,0; 32,0;  0,0;  0,0;0,0;0,0;---;45,0;239,7
  07/1945;  0,0; 10,0;  8,0; 12,0;  9,0;  8,0;  0,0;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;12,0;52,0
  08/1945;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;15,2;15,2
  10/1945; 25,0; 18,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,4;  0,7;  0,0;  0,0;0,0;0,0;0,0;25,0;57,8
  11/1945;  0,0; 13,5;  9,3;  3,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,2;  0,0;  0,0;  0,0;  0,0;  0,9;  0,4; 11,0;  0,0;  0,0;  0,9; 10,0; 15,0; 11,0;  0,8;  0,4;  0,7;0,3;0,0;---;15,0;78,5
  12/1945;  0,0;  0,0;  0,0;  0,9;  0,6;  0,4; 11,0; 10,0; 10,0;  0,0; 10,4;  1,5;  0,0; 10,0; 16,0;  2,0;  1,0; 21,0; 18,0; 13,0; 16,0;  0,0;  0,0;  0,0;  4,3; 16,0;  0,0; 57,0;18,0;20,0;60,0;60,0;317,1
